#TE	Order	Superfamily	Clade	Complete	Strand	Domains
scaffold_105_(dbseq-nr_104)_[374197,378716]	LTR	Gypsy	v_clade	no	+	RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_105_(dbseq-nr_104)_[378941,385521]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|hydra RNaseH|codi_d
scaffold_105_(dbseq-nr_104)_[393931,397029]	LTR	Gypsy	osvaldo	no	+	INT|osvaldo
scaffold_105_(dbseq-nr_104)_[83768,97001]	LTR	Copia	copia	no	-	AP|ty1/copia INT|retrofit RT|copia RNaseH|copia
scaffold_105_(dbseq-nr_104)_[97745,104589]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_106_(dbseq-nr_105)_[120978,126170]	LTR	Copia	tork	no	+	AP|retrofit INT|tork RT|copia RNaseH|tork
scaffold_106_(dbseq-nr_105)_[394356,399194]	LTR	Gypsy	v_clade	no	+	GAG|v_clade AP|v_clade
scaffold_107_(dbseq-nr_106)_[373989,382652]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_107_(dbseq-nr_106)_[383317,390657]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_107_(dbseq-nr_106)_[427676,434131]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_108_(dbseq-nr_107)_[178398,184684]	LTR	Gypsy	v_clade	no	-	AP|del RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_108_(dbseq-nr_107)_[184687,190987]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_108_(dbseq-nr_107)_[193478,199737]	LTR	Copia	tork	no	+	AP|ty1/copia INT|tork RT|tork RNaseH|sire
scaffold_108_(dbseq-nr_107)_[209223,216089]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_108_(dbseq-nr_107)_[225023,228355]	LTR	Copia	mixture	no	-	INT|sire RT|1731 RNaseH|copia
scaffold_109_(dbseq-nr_108)_[14129,20417]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_109_(dbseq-nr_108)_[385103,391694]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RNaseH|v_clade INT|v_clade
scaffold_109_(dbseq-nr_108)_[45297,51465]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|pyret INT|v_clade
scaffold_109_(dbseq-nr_108)_[61275,67898]	LTR	Gypsy	mixture	no	-	AP|tat RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_109_(dbseq-nr_108)_[80275,85364]	LTR	Gypsy	v_clade	no	+	GAG|v_clade AP|v_clade
scaffold_10_(dbseq-nr_9)_[1187310,1192221]	LTR	Gypsy	v_clade	no	-	GAG|v_clade AP|v_clade
scaffold_10_(dbseq-nr_9)_[1212623,1217589]	LTR	Gypsy	v_clade	no	-	GAG|pyret RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_10_(dbseq-nr_9)_[1307335,1312585]	LTR	Copia	tork	no	-	AP|ty1/copia INT|tork RT|tork RNaseH|copia
scaffold_10_(dbseq-nr_9)_[1825279,1830373]	LTR	Copia	tork	no	+	AP|pseudovirus INT|tork RT|tork RNaseH|copia
scaffold_10_(dbseq-nr_9)_[191635,198082]	LTR	Copia	tork	no	+	AP|ty1/copia INT|retrofit RT|tork RNaseH|tork
scaffold_10_(dbseq-nr_9)_[2359177,2363186]	Unknown	unknown	dtg_ilg_template	unknown	+	AP|dtg_ilg_template
scaffold_10_(dbseq-nr_9)_[2428076,2439624]	LTR	Gypsy	v_clade	no	?	AP|ty1/copia CHR|all INT|v_clade RNaseH|v_clade RT|v_clade GAG|v_clade
scaffold_10_(dbseq-nr_9)_[2452405,2458903]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|copia RNaseH|sire
scaffold_10_(dbseq-nr_9)_[2575648,2581474]	LTR	Copia	sire	no	+	AP|copia INT|tork RT|sire RNaseH|sire
scaffold_10_(dbseq-nr_9)_[2857759,2863038]	LTR	Copia	copia	no	-	AP|ty1/copia INT|tork RT|copia RNaseH|copia
scaffold_10_(dbseq-nr_9)_[290213,295593]	LTR	Copia	copia	no	+	AP|pseudovirus INT|tork RT|copia RNaseH|copia
scaffold_10_(dbseq-nr_9)_[3058266,3065108]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|pseudovirus RNaseH|copia
scaffold_10_(dbseq-nr_9)_[308179,313431]	LTR	Copia	tork	no	+	AP|ty1/copia INT|tork RT|tork RNaseH|copia
scaffold_10_(dbseq-nr_9)_[3509980,3516153]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|oryco RT|pCretro RNaseH|sire
scaffold_10_(dbseq-nr_9)_[3752325,3757083]	LTR	Gypsy	v_clade	no	+	GAG|v_clade AP|v_clade
scaffold_10_(dbseq-nr_9)_[3766397,3772726]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|gypsy INT|gmr1
scaffold_10_(dbseq-nr_9)_[3790162,3804478]	LTR	Gypsy	v_clade	no	?	GAG|v_clade CHR|all INT|v_clade RNaseH|v_clade RT|v_clade
scaffold_10_(dbseq-nr_9)_[3863766,3870062]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_10_(dbseq-nr_9)_[475639,481457]	LTR	Copia	tork	no	-	AP|tork INT|tork RT|tork RNaseH|copia
scaffold_10_(dbseq-nr_9)_[566888,573926]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_10_(dbseq-nr_9)_[732574,737366]	mixture	mixture	mixture	unknown	+	GAG|v_clade AP|dtg_ilg_template
scaffold_10_(dbseq-nr_9)_[745649,752591]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|maggy RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_10_(dbseq-nr_9)_[759297,761021]	LTR	Copia	retrofit	no	-	AP|retrofit
scaffold_110_(dbseq-nr_109)_[100468,107842]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|oryco RT|copia RNaseH|codi_d
scaffold_111_(dbseq-nr_110)_[13130,25946]	LTR	Gypsy	v_clade	no	?	GAG|v_clade AP|v_clade CHR|all INT|v_clade RNaseH|v_clade RT|v_clade
scaffold_111_(dbseq-nr_110)_[211245,221995]	LTR	Copia	mixture	no	+	RT|1731 RNaseH|copia INT|tork
scaffold_111_(dbseq-nr_110)_[240035,246410]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|pyret INT|v_clade
scaffold_111_(dbseq-nr_110)_[247559,256391]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_111_(dbseq-nr_110)_[261285,267634]	LTR	Gypsy	v_clade	no	+	RT|v_clade RNaseH|pyret INT|v_clade
scaffold_111_(dbseq-nr_110)_[2792,5426]	LTR	Copia	codi_d	no	-	RT|codi_d RNaseH|codi_d
scaffold_111_(dbseq-nr_110)_[284328,295011]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_111_(dbseq-nr_110)_[302353,310212]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_111_(dbseq-nr_110)_[55584,61356]	LTR	Copia	sire	no	+	AP|ty1/copia INT|tork RT|sire RNaseH|sire
scaffold_111_(dbseq-nr_110)_[61454,67929]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|tork RT|copia RNaseH|codi_d
scaffold_112_(dbseq-nr_111)_[129009,135012]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|tat
scaffold_112_(dbseq-nr_111)_[137426,146526]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_112_(dbseq-nr_111)_[154484,159885]	LTR	Gypsy	17_6	no	+	RNaseH|17_6
scaffold_112_(dbseq-nr_111)_[194691,197857]	LTR	Copia	mixture	no	+	RT|sire RNaseH|copia
scaffold_112_(dbseq-nr_111)_[198445,202538]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|1731 RT|pseudovirus
scaffold_113_(dbseq-nr_112)_[100914,106757]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|tork RT|1731 RNaseH|sire
scaffold_113_(dbseq-nr_112)_[128966,136112]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_113_(dbseq-nr_112)_[136780,142939]	mixture	mixture	mixture	unknown	-	AP|cog5550 RT|reina RNaseH|17_6 INT|gmr1
scaffold_113_(dbseq-nr_112)_[164310,171448]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_113_(dbseq-nr_112)_[290936,297203]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|tork RT|copia RNaseH|codi_d
scaffold_113_(dbseq-nr_112)_[308422,314430]	LTR	Copia	mixture	no	+	INT|retrofit RT|tork RNaseH|sire
scaffold_113_(dbseq-nr_112)_[334948,341864]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_113_(dbseq-nr_112)_[46247,51469]	LTR	Gypsy	reina	no	+	RT|reina
scaffold_114_(dbseq-nr_113)_[158155,164262]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|tork RT|copia RNaseH|codi_d
scaffold_114_(dbseq-nr_113)_[43818,49723]	LTR	Copia	copia	no	-	AP|ty1/copia INT|tork RT|copia RNaseH|copia
scaffold_115_(dbseq-nr_114)_[12383,20768]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|tat
scaffold_115_(dbseq-nr_114)_[269523,274893]	LTR	Copia	copia	no	+	AP|ty1/copia INT|copia RT|tork RNaseH|copia
scaffold_115_(dbseq-nr_114)_[305781,310905]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|copia RT|tork RNaseH|sire
scaffold_116_(dbseq-nr_115)_[185087,190904]	LTR	Copia	sire	no	-	AP|copia INT|tork RT|sire RNaseH|sire
scaffold_116_(dbseq-nr_115)_[201096,208960]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_116_(dbseq-nr_115)_[291835,293162]	LTR	Copia	codi_d	no	+	RNaseH|codi_d
scaffold_117_(dbseq-nr_116)_[179408,184229]	LTR	Gypsy	17_6	no	-	RNaseH|17_6
scaffold_117_(dbseq-nr_116)_[278303,283383]	LTR	Copia	tork	no	-	AP|pseudovirus INT|tork RT|tork RNaseH|copia
scaffold_117_(dbseq-nr_116)_[42849,49993]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|tork RNaseH|sire
scaffold_118_(dbseq-nr_117)_[101129,108702]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|del INT|tat
scaffold_118_(dbseq-nr_117)_[122617,128901]	LTR	Copia	tork	no	+	AP|ty1/copia INT|tork RT|tork RNaseH|sire
scaffold_118_(dbseq-nr_117)_[133010,146123]	LTR	Gypsy	v_clade	no	?	AP|tat RT|v_clade RNaseH|v_clade INT|v_clade CHR|all GAG|v_clade
scaffold_118_(dbseq-nr_117)_[22191,30934]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_119_(dbseq-nr_118)_[33450,39522]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RNaseH|tork
scaffold_11_(dbseq-nr_10)_[1053365,1061953]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit
scaffold_11_(dbseq-nr_10)_[1302921,1309882]	LTR	Copia	mixture	no	-	AP|retrofit INT|oryco RT|tork RNaseH|codi_d
scaffold_11_(dbseq-nr_10)_[1699125,1706682]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_11_(dbseq-nr_10)_[1725789,1729038]	LTR	Copia	ty1/copia	no	+	AP|ty1/copia
scaffold_11_(dbseq-nr_10)_[2123045,2128771]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|tork RNaseH|copia
scaffold_11_(dbseq-nr_10)_[2283726,2293944]	LTR	Copia	sire	no	-	RNaseH|sire
scaffold_11_(dbseq-nr_10)_[2424164,2429889]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|pseudovirus RNaseH|copia
scaffold_11_(dbseq-nr_10)_[2442483,2448337]	LTR	Copia	tork	no	+	AP|tork INT|tork RT|tork RNaseH|copia
scaffold_11_(dbseq-nr_10)_[2696684,2702550]	LTR	Copia	tork	no	-	AP|tork INT|tork RT|tork RNaseH|copia
scaffold_11_(dbseq-nr_10)_[2807173,2815132]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_11_(dbseq-nr_10)_[2822645,2827320]	LTR	Gypsy	v_clade	no	-	GAG|v_clade AP|v_clade
scaffold_11_(dbseq-nr_10)_[2835597,2841463]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_11_(dbseq-nr_10)_[2841467,2847731]	LTR	Gypsy	v_clade	no	+	AP|del RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_11_(dbseq-nr_10)_[2869796,2874620]	LTR	Gypsy	v_clade	no	-	GAG|v_clade AP|v_clade
scaffold_11_(dbseq-nr_10)_[2888398,2895462]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_11_(dbseq-nr_10)_[2895474,2900435]	LTR	Gypsy	v_clade	no	+	GAG|v_clade
scaffold_11_(dbseq-nr_10)_[3470528,3476803]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|gypsy INT|gmr1
scaffold_11_(dbseq-nr_10)_[3659512,3665521]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_11_(dbseq-nr_10)_[3666090,3673982]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_11_(dbseq-nr_10)_[3679371,3688016]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_11_(dbseq-nr_10)_[3744592,3751330]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_11_(dbseq-nr_10)_[3751343,3756007]	LTR	Gypsy	v_clade	no	+	GAG|v_clade AP|v_clade
scaffold_11_(dbseq-nr_10)_[544623,550635]	LTR	Copia	sire	no	+	INT|copia RT|sire RNaseH|sire
scaffold_11_(dbseq-nr_10)_[752455,757901]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|tork RT|pCretro RNaseH|sire
scaffold_120_(dbseq-nr_119)_[184767,199027]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|tat
scaffold_120_(dbseq-nr_119)_[73174,79673]	LTR	Copia	copia	no	-	AP|ty1/copia INT|retrofit RT|copia RNaseH|copia
scaffold_121_(dbseq-nr_120)_[275067,283232]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_121_(dbseq-nr_120)_[35784,42276]	LTR	Copia	retrofit	no	-	AP|retrofit INT|retrofit RT|tork RNaseH|copia
scaffold_122_(dbseq-nr_121)_[222811,229471]	LTR	Copia	copia	no	-	AP|ty1/copia INT|tork RT|copia RNaseH|copia
scaffold_122_(dbseq-nr_121)_[235776,242898]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|tork RT|copia RNaseH|codi_d
scaffold_122_(dbseq-nr_121)_[35096,47436]	LTR	Copia	copia	no	+	AP|ty1/copia INT|copia RT|tork RNaseH|copia
scaffold_122_(dbseq-nr_121)_[49790,55593]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|pyret INT|v_clade CHR|retroelement
scaffold_122_(dbseq-nr_121)_[99231,105266]	LTR	Copia	mixture	no	+	RT|copia RNaseH|oryco
scaffold_123_(dbseq-nr_122)_[11,6980]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_123_(dbseq-nr_122)_[238504,244497]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|tork RT|copia RNaseH|sire
scaffold_123_(dbseq-nr_122)_[53262,61305]	LTR	Gypsy	mixture	no	+	AP|athila RT|reina RNaseH|cer2-3 INT|tat
scaffold_123_(dbseq-nr_122)_[65175,78729]	LTR	Gypsy	mixture	no	+	RNaseH|17_6 RT|reina
scaffold_124_(dbseq-nr_123)_[1348,6150]	LTR	Gypsy	v_clade	no	+	GAG|v_clade AP|v_clade
scaffold_124_(dbseq-nr_123)_[163220,168771]	LTR	Gypsy	v_clade	no	+	RT|v_clade RNaseH|pyret INT|v_clade
scaffold_124_(dbseq-nr_123)_[241192,254490]	LTR	Gypsy	gmr1	no	-	INT|gmr1
scaffold_124_(dbseq-nr_123)_[275796,282184]	LTR	Copia	mixture	no	+	INT|1731 RT|copia RNaseH|codi_d
scaffold_124_(dbseq-nr_123)_[285716,289984]	LTR	Gypsy	mixture	no	+	RNaseH|17_6 INT|gmr1
scaffold_125_(dbseq-nr_124)_[10325,17383]	LTR	Gypsy	v_clade	no	+	RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_125_(dbseq-nr_124)_[107097,114680]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|tat
scaffold_125_(dbseq-nr_124)_[2050,10319]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_125_(dbseq-nr_124)_[21277,28180]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_125_(dbseq-nr_124)_[234401,240539]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_125_(dbseq-nr_124)_[240545,249234]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_125_(dbseq-nr_124)_[249238,257658]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_125_(dbseq-nr_124)_[259210,267068]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_125_(dbseq-nr_124)_[267087,274939]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_125_(dbseq-nr_124)_[276588,281361]	LTR	Gypsy	v_clade	no	+	GAG|v_clade AP|v_clade
scaffold_125_(dbseq-nr_124)_[283204,290836]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_125_(dbseq-nr_124)_[43837,48599]	LTR	Gypsy	v_clade	no	+	GAG|v_clade
scaffold_125_(dbseq-nr_124)_[75385,83219]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_125_(dbseq-nr_124)_[86071,94277]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
