#TE	Order	Superfamily	Clade	Complete	Strand	Domains
scaffold_104_(dbseq-nr_103)_[658856,666917]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_105_(dbseq-nr_104)_[132000,137667]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|tork RNaseH|copia
scaffold_105_(dbseq-nr_104)_[35967,42281]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|tork RNaseH|copia
scaffold_105_(dbseq-nr_104)_[396148,402779]	LTR	Gypsy	mixture	no	-	AP|micropia_mdg3 RT|reina RNaseH|galadriel INT|tat
scaffold_106_(dbseq-nr_105)_[15393,22477]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|bel RT|v_clade RNaseH|pyret INT|v_clade
scaffold_106_(dbseq-nr_105)_[257193,263679]	LTR	Copia	tork	no	-	AP|ty1/copia INT|tork RT|tork RNaseH|copia
scaffold_106_(dbseq-nr_105)_[47432,53743]	LTR	Copia	mixture	yes	+	GAG|1731 AP|ty1/copia INT|retrofit RT|copia RNaseH|sire
scaffold_106_(dbseq-nr_105)_[524170,537364]	LTR	Gypsy	crm	no	-	RNaseH|crm
scaffold_106_(dbseq-nr_105)_[583683,592496]	LTR	Copia	pseudovirus	no	+	RT|pseudovirus
scaffold_106_(dbseq-nr_105)_[615371,628079]	LTR	Gypsy	v_clade	no	-	AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_107_(dbseq-nr_106)_[421124,427923]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_107_(dbseq-nr_106)_[579833,587649]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|tat
scaffold_107_(dbseq-nr_106)_[599007,603475]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_107_(dbseq-nr_106)_[643482,650021]	LTR	Copia	tork	no	-	AP|ty1/copia INT|tork RT|copia RNaseH|tork
scaffold_108_(dbseq-nr_107)_[30303,37013]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_108_(dbseq-nr_107)_[37838,45933]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_108_(dbseq-nr_107)_[47423,54006]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_108_(dbseq-nr_107)_[503280,506562]	LTR	Copia	mixture	no	+	RT|1731 RNaseH|sire
scaffold_108_(dbseq-nr_107)_[575861,581749]	LTR	Gypsy	v_clade	no	+	GAG|v_clade AP|v_clade INT|v_clade CHR|all
scaffold_108_(dbseq-nr_107)_[583733,590464]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_108_(dbseq-nr_107)_[601866,609747]	mixture	mixture	mixture	unknown	+	AP|cog5550 RT|reina RNaseH|del INT|tat
scaffold_108_(dbseq-nr_107)_[609754,616707]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|tat
scaffold_108_(dbseq-nr_107)_[619164,625949]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_108_(dbseq-nr_107)_[62342,69454]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_108_(dbseq-nr_107)_[636635,645496]	LTR	Gypsy	mixture	no	-	AP|athila RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_109_(dbseq-nr_108)_[14885,21900]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_109_(dbseq-nr_108)_[466433,476398]	LTR	Copia	copia	no	+	RT|copia
scaffold_109_(dbseq-nr_108)_[498942,505386]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|copia RT|tork RNaseH|sire
scaffold_109_(dbseq-nr_108)_[556382,563739]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|copia
scaffold_109_(dbseq-nr_108)_[62838,68183]	LTR	Copia	mixture	no	+	AP|ty1/copia RT|pCretro RNaseH|sire
scaffold_109_(dbseq-nr_108)_[635059,642400]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|tat
scaffold_109_(dbseq-nr_108)_[7176,14878]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_109_(dbseq-nr_108)_[99241,107454]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|del INT|tat
scaffold_10_(dbseq-nr_9)_[107548,114437]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_10_(dbseq-nr_9)_[1094548,1099028]	LTR	Copia	mixture	no	-	AP|ty1/copia RT|oryco RNaseH|copia
scaffold_10_(dbseq-nr_9)_[1162776,1170316]	LTR	Copia	tork	no	-	INT|tork RT|copia RNaseH|tork
scaffold_10_(dbseq-nr_9)_[1269148,1274367]	LTR	Copia	pseudovirus	no	-	AP|pseudovirus INT|sire RT|tork RNaseH|pseudovirus
scaffold_10_(dbseq-nr_9)_[1350518,1363629]	LTR	Copia	codi_d	no	-	RNaseH|codi_d
scaffold_10_(dbseq-nr_9)_[1645884,1652777]	LTR	Gypsy	gmr1	no	-	INT|gmr1
scaffold_10_(dbseq-nr_9)_[1799521,1808192]	LTR	Copia	mixture	no	-	INT|oryco RT|1731 RNaseH|sire
scaffold_10_(dbseq-nr_9)_[1837720,1843209]	LTR	Copia	tork	no	+	AP|ty1/copia INT|tork RT|tork RNaseH|sire
scaffold_10_(dbseq-nr_9)_[1847640,1852721]	LTR	Copia	oryco	no	+	INT|oryco
scaffold_10_(dbseq-nr_9)_[1854199,1862715]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_10_(dbseq-nr_9)_[1949150,1960379]	LTR	mixture	mixture	unknown	?	RNaseH|17_6 RT|reina AP|pseudovirus INT|1731
scaffold_10_(dbseq-nr_9)_[1979551,1984556]	LTR	Copia	mixture	no	-	INT|sire RT|1731 RNaseH|tork
scaffold_10_(dbseq-nr_9)_[2001751,2009708]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_10_(dbseq-nr_9)_[2044059,2049134]	LTR	Copia	tork	no	-	INT|tork RT|tork RNaseH|copia
scaffold_10_(dbseq-nr_9)_[2049747,2055764]	LTR	Copia	mixture	no	+	RT|sire RNaseH|copia
scaffold_10_(dbseq-nr_9)_[2100889,2107713]	LTR	Gypsy	v_clade	no	+	AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_10_(dbseq-nr_9)_[2125737,2132925]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_10_(dbseq-nr_9)_[2137035,2144617]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_10_(dbseq-nr_9)_[2148687,2153435]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|del INT|gmr1
scaffold_10_(dbseq-nr_9)_[2155244,2163769]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3
scaffold_10_(dbseq-nr_9)_[460119,466739]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_10_(dbseq-nr_9)_[57821,69810]	LTR	Gypsy	del	no	+	RT|del
scaffold_10_(dbseq-nr_9)_[586459,595485]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|17_6 INT|gmr1
scaffold_10_(dbseq-nr_9)_[606514,612662]	LTR	Gypsy	v_clade	no	+	AP|dtg_ilg_template RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_10_(dbseq-nr_9)_[613523,619493]	LTR	Gypsy	v_clade	no	+	GAG|v_clade AP|v_clade INT|v_clade CHR|all
scaffold_10_(dbseq-nr_9)_[632412,640207]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|tat
scaffold_10_(dbseq-nr_9)_[649370,655816]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_10_(dbseq-nr_9)_[662764,669514]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_10_(dbseq-nr_9)_[765573,777875]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_10_(dbseq-nr_9)_[86715,92112]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|del INT|gmr1
scaffold_10_(dbseq-nr_9)_[8730,15755]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_10_(dbseq-nr_9)_[902,6852]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_10_(dbseq-nr_9)_[94810,105316]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_110_(dbseq-nr_109)_[148957,154875]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|tork RNaseH|sire
scaffold_110_(dbseq-nr_109)_[183792,188933]	LTR	Copia	mixture	no	+	INT|pseudovirus RT|hydra RNaseH|codi_d
scaffold_110_(dbseq-nr_109)_[190778,196567]	LTR	Copia	sire	no	+	AP|ty1/copia INT|retrofit RT|sire RNaseH|sire
scaffold_110_(dbseq-nr_109)_[333396,338800]	LTR	Copia	1731	no	+	AP|ty1/copia INT|1731 RT|1731 RNaseH|codi_d
scaffold_110_(dbseq-nr_109)_[350721,357959]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_110_(dbseq-nr_109)_[371953,377577]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_110_(dbseq-nr_109)_[387589,392328]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|copia RNaseH|oryco
scaffold_110_(dbseq-nr_109)_[443519,453827]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|17_6 INT|tat
scaffold_110_(dbseq-nr_109)_[468264,481649]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_110_(dbseq-nr_109)_[489473,495963]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|pCretro RNaseH|sire
scaffold_110_(dbseq-nr_109)_[532283,538408]	LTR	Copia	copia	no	+	RNaseH|copia
scaffold_110_(dbseq-nr_109)_[58074,68543]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|tork RNaseH|copia
scaffold_110_(dbseq-nr_109)_[80527,87297]	LTR	Copia	sire	no	+	AP|ty1/copia INT|retrofit RT|sire RNaseH|sire
scaffold_111_(dbseq-nr_110)_[263427,270654]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_111_(dbseq-nr_110)_[273659,279759]	LTR	Gypsy	v_clade	no	?	CHR|all INT|v_clade RNaseH|v_clade RT|v_clade AP|v_clade GAG|v_clade
scaffold_111_(dbseq-nr_110)_[279876,287929]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_111_(dbseq-nr_110)_[288757,295759]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_111_(dbseq-nr_110)_[71476,76715]	LTR	Copia	mixture	no	+	INT|oryco RT|copia RNaseH|tork
scaffold_112_(dbseq-nr_111)_[175091,180911]	LTR	Copia	mixture	no	+	INT|oryco RT|copia RNaseH|tork
scaffold_112_(dbseq-nr_111)_[298474,304847]	LTR	Gypsy	v_clade	no	+	RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_112_(dbseq-nr_111)_[304878,311872]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_112_(dbseq-nr_111)_[47,9283]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|17_6 INT|gmr1
scaffold_112_(dbseq-nr_111)_[598557,605373]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_112_(dbseq-nr_111)_[607936,614869]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_112_(dbseq-nr_111)_[67631,72094]	LTR	Gypsy	v_clade	no	-	INT|v_clade
scaffold_113_(dbseq-nr_112)_[307410,314195]	LTR	Copia	sire	no	-	AP|ty1/copia INT|retrofit RT|sire RNaseH|sire
scaffold_113_(dbseq-nr_112)_[365248,372281]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|gypsy
scaffold_113_(dbseq-nr_112)_[607909,614693]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_113_(dbseq-nr_112)_[70563,73025]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit
scaffold_114_(dbseq-nr_113)_[225112,234729]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3
scaffold_114_(dbseq-nr_113)_[34210,42024]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|17_6 INT|tat
scaffold_114_(dbseq-nr_113)_[420095,426878]	LTR	Copia	sire	no	+	AP|ty1/copia INT|copia RT|sire RNaseH|sire
scaffold_114_(dbseq-nr_113)_[579246,585162]	LTR	Gypsy	v_clade	no	-	GAG|v_clade INT|v_clade CHR|all
scaffold_114_(dbseq-nr_113)_[605075,615853]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_114_(dbseq-nr_113)_[840,9322]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_115_(dbseq-nr_114)_[10447,16459]	LTR	Gypsy	v_clade	no	+	GAG|v_clade AP|v_clade INT|v_clade CHR|all
scaffold_115_(dbseq-nr_114)_[2697,10436]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_116_(dbseq-nr_115)_[16,6836]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|bel RT|v_clade RNaseH|pyret INT|v_clade
scaffold_116_(dbseq-nr_115)_[339477,344656]	LTR	Copia	retrofit	no	+	AP|retrofit INT|retrofit RT|copia RNaseH|copia
scaffold_116_(dbseq-nr_115)_[402384,409522]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|del INT|gmr1
scaffold_116_(dbseq-nr_115)_[486440,495233]	LTR	Copia	tork	no	-	RNaseH|tork
scaffold_116_(dbseq-nr_115)_[70051,71812]	LTR	Copia	mixture	no	+	RT|pCretro RNaseH|tork
scaffold_117_(dbseq-nr_116)_[430733,444382]	LTR	Gypsy	v_clade	no	+	GAG|v_clade AP|v_clade INT|v_clade CHR|retroelement RT|v_clade RNaseH|v_clade
scaffold_117_(dbseq-nr_116)_[4758,12943]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_118_(dbseq-nr_117)_[35952,41237]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|pyret INT|v_clade
scaffold_118_(dbseq-nr_117)_[471015,477378]	LTR	Copia	copia	no	+	AP|ty1/copia INT|tork RT|copia RNaseH|copia
scaffold_118_(dbseq-nr_117)_[484137,490434]	LTR	Copia	tork	no	-	AP|ty1/copia INT|tork RT|tork RNaseH|tork
scaffold_118_(dbseq-nr_117)_[509335,515698]	LTR	Copia	copia	no	+	AP|ty1/copia INT|tork RT|copia RNaseH|copia
scaffold_118_(dbseq-nr_117)_[60767,66057]	LTR	Copia	sire	no	-	AP|pseudovirus INT|tork RT|sire RNaseH|sire
scaffold_118_(dbseq-nr_117)_[75032,81091]	LTR	Gypsy	mixture	no	-	RT|v_clade RNaseH|pyret INT|crm
scaffold_119_(dbseq-nr_118)_[17234,22875]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|17_6 INT|gmr1
scaffold_119_(dbseq-nr_118)_[230693,236614]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|tork RT|sire RNaseH|copia
scaffold_119_(dbseq-nr_118)_[25132,37587]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|17_6 INT|gmr1
scaffold_119_(dbseq-nr_118)_[37592,45772]	mixture	mixture	mixture	unknown	-	AP|cog5550 RT|reina RNaseH|cer2-3 INT|tat
scaffold_119_(dbseq-nr_118)_[439665,446683]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_119_(dbseq-nr_118)_[520079,525052]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|tork RNaseH|copia
scaffold_119_(dbseq-nr_118)_[572934,578561]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_119_(dbseq-nr_118)_[84527,92587]	mixture	mixture	mixture	unknown	+	AP|cog5550 RT|reina RNaseH|cer2-3 INT|tat
scaffold_119_(dbseq-nr_118)_[8993,17016]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_11_(dbseq-nr_10)_[1027100,1035705]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|17_6 INT|gmr1
scaffold_11_(dbseq-nr_10)_[1075672,1084105]	LTR	Copia	tork	no	+	RNaseH|codi_d AP|tork INT|tork RT|tork
scaffold_11_(dbseq-nr_10)_[1112528,1119309]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_11_(dbseq-nr_10)_[1128277,1135304]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|bel RT|v_clade RNaseH|pyret INT|v_clade
scaffold_11_(dbseq-nr_10)_[1212545,1215512]	LTR	Copia	mixture	no	-	GAG|1731 AP|ty1/copia INT|retrofit
scaffold_11_(dbseq-nr_10)_[1486164,1492327]	LTR	Copia	sire	no	+	AP|ty1/copia INT|tork RT|sire RNaseH|sire
scaffold_11_(dbseq-nr_10)_[1495152,1501540]	LTR	Copia	sire	no	?	INT|retrofit AP|ty1/copia RT|sire RNaseH|sire
scaffold_11_(dbseq-nr_10)_[1501981,1508355]	LTR	Copia	copia	no	-	AP|ty1/copia INT|tork RT|copia RNaseH|copia
scaffold_11_(dbseq-nr_10)_[1552685,1559065]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_11_(dbseq-nr_10)_[1564681,1571954]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|17_6 INT|gmr1
scaffold_11_(dbseq-nr_10)_[1573973,1582252]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_11_(dbseq-nr_10)_[1606206,1612551]	LTR	Gypsy	v_clade	no	+	GAG|v_clade INT|v_clade CHR|all
scaffold_11_(dbseq-nr_10)_[1622786,1630926]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_11_(dbseq-nr_10)_[1662460,1669221]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|tork RT|copia RNaseH|sire
scaffold_11_(dbseq-nr_10)_[26559,32364]	LTR	Gypsy	mixture	no	+	AP|tat RNaseH|cer2-3
scaffold_11_(dbseq-nr_10)_[33187,41864]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|tat
scaffold_11_(dbseq-nr_10)_[43270,50303]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|bel RT|v_clade RNaseH|pyret INT|v_clade
scaffold_11_(dbseq-nr_10)_[636535,642525]	LTR	Gypsy	v_clade	no	+	RNaseH|v_clade
scaffold_11_(dbseq-nr_10)_[8014,17086]	LTR	Gypsy	mixture	no	+	AP|athila RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_11_(dbseq-nr_10)_[843904,848432]	LTR	Copia	mixture	no	+	RT|sire RNaseH|tork
scaffold_11_(dbseq-nr_10)_[916389,922876]	mixture	mixture	mixture	unknown	+	AP|dtg_ilg_template RT|reina RNaseH|galadriel INT|tat
scaffold_120_(dbseq-nr_119)_[126263,134017]	LTR	Copia	oryco	no	-	INT|oryco
scaffold_120_(dbseq-nr_119)_[188,7136]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_120_(dbseq-nr_119)_[231318,245374]	LTR	Copia	tork	no	-	RNaseH|tork
scaffold_120_(dbseq-nr_119)_[335325,345210]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|tat
scaffold_120_(dbseq-nr_119)_[355495,361334]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|tork RT|pCretro RNaseH|copia
scaffold_120_(dbseq-nr_119)_[383865,389842]	LTR	Gypsy	tat	no	+	INT|tat
scaffold_120_(dbseq-nr_119)_[434344,438228]	LTR	Copia	tork	no	-	RT|tork
scaffold_120_(dbseq-nr_119)_[441597,446189]	LTR	Copia	mixture	no	-	RT|copia RNaseH|sire
scaffold_120_(dbseq-nr_119)_[455075,460187]	LTR	Copia	tork	no	+	AP|retrofit INT|tork RT|copia RNaseH|tork
scaffold_120_(dbseq-nr_119)_[476574,482798]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|sire RNaseH|copia
scaffold_120_(dbseq-nr_119)_[542402,552896]	LTR	Gypsy	tat	no	-	INT|tat
scaffold_120_(dbseq-nr_119)_[566950,572854]	LTR	Gypsy	cer2-3	no	-	RNaseH|cer2-3
