#TE	Order	Superfamily	Clade	Complete	Strand	Domains
scaffold_104_(dbseq-nr_103)_[331802,337586]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_104_(dbseq-nr_103)_[425062,437651]	LTR	Gypsy	mixture	no	-	RNaseH|gypsy INT|tat
scaffold_104_(dbseq-nr_103)_[501572,510635]	LTR	Gypsy	mixture	no	+	AP|athila RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_104_(dbseq-nr_103)_[511112,518110]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_104_(dbseq-nr_103)_[83622,89383]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|pCretro RNaseH|sire
scaffold_1055_(dbseq-nr_1054)_[8469,15047]	LTR	Gypsy	v_clade	no	+	RT|v_clade RNaseH|v_clade INT|maggy
scaffold_1057_(dbseq-nr_1056)_[4345,10605]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|tork RT|pCretro RNaseH|sire
scaffold_105_(dbseq-nr_104)_[257668,264477]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_105_(dbseq-nr_104)_[290678,296902]	LTR	Copia	sire	no	+	AP|ty1/copia INT|copia RT|sire RNaseH|sire
scaffold_1060_(dbseq-nr_1059)_[4695,10882]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|osvaldo INT|tat
scaffold_1062_(dbseq-nr_1061)_[1434,6912]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|copia RNaseH|sire
scaffold_1065_(dbseq-nr_1064)_[2827,9141]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|sire RNaseH|tork
scaffold_1067_(dbseq-nr_1066)_[4847,10818]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|del INT|tat
scaffold_1069_(dbseq-nr_1068)_[604,5726]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|tork RNaseH|pCretro
scaffold_106_(dbseq-nr_105)_[335952,342567]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_106_(dbseq-nr_105)_[380037,387765]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|tat
scaffold_106_(dbseq-nr_105)_[408903,417228]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|sire RNaseH|copia
scaffold_106_(dbseq-nr_105)_[424713,433755]	LTR	Gypsy	mixture	no	+	AP|athila RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_106_(dbseq-nr_105)_[53522,64057]	LTR	Copia	mixture	no	+	RT|1731 RNaseH|sire
scaffold_1070_(dbseq-nr_1069)_[4079,9639]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|hydra RNaseH|sire
scaffold_1075_(dbseq-nr_1074)_[1800,7393]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|copia RT|sire RNaseH|tork
scaffold_1076_(dbseq-nr_1075)_[1790,7390]	LTR	Copia	copia	no	-	AP|ty1/copia INT|copia RT|copia RNaseH|codi_d
scaffold_1077_(dbseq-nr_1076)_[7643,14224]	LTR	Copia	copia	no	-	RNaseH|copia
scaffold_107_(dbseq-nr_106)_[228245,234198]	LTR	Gypsy	v_clade	no	-	GAG|v_clade INT|v_clade CHR|all
scaffold_107_(dbseq-nr_106)_[3230,7558]	LTR	Copia	ty1/copia	no	-	AP|ty1/copia
scaffold_107_(dbseq-nr_106)_[465267,469961]	LTR	Copia	mixture	no	+	RT|1731 RNaseH|tork
scaffold_107_(dbseq-nr_106)_[483068,491059]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_107_(dbseq-nr_106)_[69281,74509]	LTR	Copia	tork	no	-	AP|retrofit INT|tork RT|tork RNaseH|copia
scaffold_1089_(dbseq-nr_1088)_[10,10044]	LTR	Gypsy	v_clade	no	-	GAG|pyret RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_108_(dbseq-nr_107)_[13042,18900]	LTR	Copia	mixture	no	+	INT|copia RNaseH|codi_d
scaffold_108_(dbseq-nr_107)_[338635,347890]	LTR	Copia	tork	no	+	RT|tork RNaseH|tork
scaffold_108_(dbseq-nr_107)_[364390,372075]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|tat
scaffold_108_(dbseq-nr_107)_[379051,386833]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|17_6 INT|tat
scaffold_108_(dbseq-nr_107)_[467622,475321]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_1095_(dbseq-nr_1094)_[1794,7469]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|pCretro RNaseH|sire
scaffold_1098_(dbseq-nr_1097)_[1096,5379]	LTR	Copia	oryco	no	-	INT|oryco
scaffold_109_(dbseq-nr_108)_[293667,300449]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_109_(dbseq-nr_108)_[457513,464424]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|gypsy INT|gmr1
scaffold_109_(dbseq-nr_108)_[465447,470306]	LTR	Gypsy	v_clade	no	+	GAG|v_clade AP|bel INT|v_clade
scaffold_109_(dbseq-nr_108)_[470361,477365]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_109_(dbseq-nr_108)_[483971,498622]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_109_(dbseq-nr_108)_[500136,507687]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|tat
scaffold_10_(dbseq-nr_9)_[1150634,1157472]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_10_(dbseq-nr_9)_[125719,140327]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|tat
scaffold_10_(dbseq-nr_9)_[147768,157721]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|pyret INT|v_clade
scaffold_10_(dbseq-nr_9)_[254471,261484]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_10_(dbseq-nr_9)_[368198,375148]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_10_(dbseq-nr_9)_[375204,381584]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_10_(dbseq-nr_9)_[391062,398099]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_10_(dbseq-nr_9)_[574688,580791]	LTR	Copia	tork	no	+	RNaseH|tork
scaffold_10_(dbseq-nr_9)_[687690,702830]	LTR	Copia	tork	no	-	INT|pseudovirus RT|tork RNaseH|tork
scaffold_10_(dbseq-nr_9)_[767292,774140]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_10_(dbseq-nr_9)_[777777,786967]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|17_6 INT|gmr1
scaffold_10_(dbseq-nr_9)_[817257,823045]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|pCretro RNaseH|sire
scaffold_110_(dbseq-nr_109)_[100588,107912]	LTR	Copia	tork	no	+	AP|ty1/copia INT|tork RT|copia RNaseH|tork
scaffold_110_(dbseq-nr_109)_[188206,194321]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|oryco RT|pCretro RNaseH|codi_d
scaffold_110_(dbseq-nr_109)_[202,6600]	LTR	Copia	copia	no	-	INT|copia RT|hydra RNaseH|copia
scaffold_110_(dbseq-nr_109)_[216803,222263]	LTR	Copia	copia	no	-	INT|tork RT|copia RNaseH|copia
scaffold_110_(dbseq-nr_109)_[310136,315186]	LTR	Copia	tork	no	+	AP|ty1/copia INT|tork RT|tork RNaseH|copia
scaffold_110_(dbseq-nr_109)_[387824,401804]	LTR	Copia	copia	no	-	RNaseH|copia
scaffold_110_(dbseq-nr_109)_[418878,428695]	LTR	Copia	mixture	no	+	RT|pseudovirus RNaseH|pCretro
scaffold_110_(dbseq-nr_109)_[58221,63480]	LTR	Copia	tork	no	-	AP|ty1/copia INT|tork RT|tork RNaseH|copia
scaffold_110_(dbseq-nr_109)_[9902,15719]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_1113_(dbseq-nr_1112)_[6369,13256]	LTR	Copia	copia	no	-	INT|tork RT|copia RNaseH|copia
scaffold_1115_(dbseq-nr_1114)_[4436,10753]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_1116_(dbseq-nr_1115)_[3784,9815]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|v_clade
scaffold_111_(dbseq-nr_110)_[107651,112498]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|copia RT|tork RNaseH|sire
scaffold_111_(dbseq-nr_110)_[26402,31561]	LTR	Gypsy	v_clade	no	+	GAG|v_clade AP|pyret RT|v_clade INT|galadriel
scaffold_111_(dbseq-nr_110)_[295118,304095]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|17_6 INT|tat
scaffold_111_(dbseq-nr_110)_[315465,324467]	LTR	Gypsy	mixture	no	-	AP|athila RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_111_(dbseq-nr_110)_[363275,369802]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|tork RT|oryco RNaseH|sire
scaffold_111_(dbseq-nr_110)_[414097,419514]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|tork RNaseH|sire
scaffold_111_(dbseq-nr_110)_[420776,427011]	LTR	Copia	copia	no	-	AP|ty1/copia INT|tork RT|copia RNaseH|copia
scaffold_111_(dbseq-nr_110)_[51945,58957]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_111_(dbseq-nr_110)_[75639,82958]	LTR	Gypsy	v_clade	no	+	RT|v_clade RNaseH|pyret INT|v_clade
scaffold_111_(dbseq-nr_110)_[85212,90839]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_1122_(dbseq-nr_1121)_[3673,13734]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|tork RNaseH|copia
scaffold_112_(dbseq-nr_111)_[106180,110569]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|tork
scaffold_112_(dbseq-nr_111)_[113245,121376]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|17_6 INT|gmr1
scaffold_112_(dbseq-nr_111)_[239246,245434]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|tork RT|pCretro RNaseH|sire
scaffold_112_(dbseq-nr_111)_[438812,443307]	LTR	Copia	mixture	no	+	INT|oryco RT|hydra RNaseH|sire
scaffold_112_(dbseq-nr_111)_[487493,497790]	LTR	Gypsy	v_clade	no	?	GAG|v_clade RNaseH|v_clade RT|v_clade
scaffold_112_(dbseq-nr_111)_[499621,506185]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_112_(dbseq-nr_111)_[62726,71886]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|17_6 INT|tat
scaffold_112_(dbseq-nr_111)_[86417,92505]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_112_(dbseq-nr_111)_[96336,100380]	LTR	Gypsy	v_clade	no	+	GAG|v_clade
scaffold_1130_(dbseq-nr_1129)_[5163,12264]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|del INT|gmr1
scaffold_1131_(dbseq-nr_1130)_[9047,14011]	mixture	mixture	mixture	unknown	-	INT|v_clade CHR|all
scaffold_1132_(dbseq-nr_1131)_[3140,10589]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|gmr1 INT|tat
scaffold_1137_(dbseq-nr_1136)_[2509,8494]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|del INT|gmr1
scaffold_113_(dbseq-nr_112)_[444474,453383]	LTR	Gypsy	mixture	no	+	AP|athila RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_1140_(dbseq-nr_1139)_[5487,10501]	LTR	Copia	tork	no	+	AP|pseudovirus INT|tork RT|tork RNaseH|sire
scaffold_1141_(dbseq-nr_1140)_[10192,12515]	LTR	Gypsy	mixture	no	-	RNaseH|cer2-3 INT|tat
scaffold_1143_(dbseq-nr_1142)_[1740,7695]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|1731 RNaseH|codi_d
scaffold_1144_(dbseq-nr_1143)_[1770,7713]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|1731 RNaseH|sire
scaffold_1146_(dbseq-nr_1145)_[1754,7690]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|1731 RNaseH|codi_d
scaffold_114_(dbseq-nr_113)_[13423,23869]	LTR	Gypsy	v_clade	no	-	AP|ty1/copia INT|oryco RT|v_clade RNaseH|v_clade
scaffold_114_(dbseq-nr_113)_[151186,160627]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|athila INT|gmr1
scaffold_114_(dbseq-nr_113)_[170074,176890]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_114_(dbseq-nr_113)_[206757,212825]	LTR	Copia	mixture	no	+	INT|retrofit RT|pseudovirus
scaffold_114_(dbseq-nr_113)_[260222,265786]	LTR	Copia	sire	no	-	RT|sire
scaffold_114_(dbseq-nr_113)_[320197,325974]	LTR	Copia	tork	no	-	INT|tork RT|copia RNaseH|tork
scaffold_114_(dbseq-nr_113)_[33330,40852]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_114_(dbseq-nr_113)_[73066,79779]	LTR	Copia	sire	no	-	INT|retrofit RT|sire RNaseH|sire
scaffold_114_(dbseq-nr_113)_[91613,99256]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_114_(dbseq-nr_113)_[99412,105577]	LTR	Copia	tork	no	-	AP|ty1/copia INT|retrofit RT|tork RNaseH|tork
scaffold_1156_(dbseq-nr_1155)_[5326,13003]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_1158_(dbseq-nr_1157)_[7258,12877]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_115_(dbseq-nr_114)_[154165,160132]	LTR	Gypsy	v_clade	no	-	GAG|v_clade INT|v_clade CHR|all
scaffold_115_(dbseq-nr_114)_[17672,24619]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_115_(dbseq-nr_114)_[179741,184167]	LTR	Copia	retrofit	no	-	INT|retrofit
scaffold_115_(dbseq-nr_114)_[331407,336580]	LTR	Copia	tork	no	+	INT|oryco RT|tork RNaseH|tork
scaffold_115_(dbseq-nr_114)_[53099,58327]	LTR	Copia	mixture	no	-	AP|pseudovirus INT|oryco RT|sire RNaseH|copia
scaffold_115_(dbseq-nr_114)_[8677,15802]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|del INT|gmr1
scaffold_1161_(dbseq-nr_1160)_[3053,8567]	LTR	Copia	copia	no	+	AP|ty1/copia INT|retrofit RT|copia RNaseH|copia
scaffold_1162_(dbseq-nr_1161)_[1475,7267]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|osvaldo
scaffold_1165_(dbseq-nr_1164)_[2672,11754]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|17_6 INT|gmr1
scaffold_1167_(dbseq-nr_1166)_[2827,7876]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|oryco RT|sire RNaseH|copia
scaffold_1168_(dbseq-nr_1167)_[2824,7873]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|oryco RT|sire RNaseH|copia
scaffold_116_(dbseq-nr_115)_[135943,141153]	LTR	Copia	sire	no	-	AP|pseudovirus INT|tork RT|sire RNaseH|sire
scaffold_116_(dbseq-nr_115)_[262990,269260]	LTR	Copia	sire	no	-	AP|ty1/copia INT|tork RT|sire RNaseH|sire
scaffold_116_(dbseq-nr_115)_[279756,288917]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|17_6 INT|tat
scaffold_116_(dbseq-nr_115)_[487407,494415]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_1172_(dbseq-nr_1171)_[1122,7651]	LTR	Copia	mixture	no	-	AP|retrofit INT|pCretro RT|oryco RNaseH|tork
scaffold_1173_(dbseq-nr_1172)_[2805,7854]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|oryco RT|sire RNaseH|copia
scaffold_1174_(dbseq-nr_1173)_[5391,12364]	LTR	Gypsy	v_clade	no	-	RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_117_(dbseq-nr_116)_[13086,18405]	LTR	Gypsy	v_clade	no	+	GAG|v_clade AP|v_clade INT|v_clade CHR|all
scaffold_117_(dbseq-nr_116)_[168387,176052]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|17_6 INT|gmr1
scaffold_117_(dbseq-nr_116)_[300909,305611]	LTR	Copia	retrofit	no	+	AP|retrofit INT|retrofit RT|copia RNaseH|tork
scaffold_117_(dbseq-nr_116)_[366858,373215]	LTR	Copia	copia	no	+	AP|ty1/copia INT|tork RT|copia RNaseH|copia
scaffold_1188_(dbseq-nr_1187)_[6745,13384]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade
scaffold_118_(dbseq-nr_117)_[170715,176127]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|tork RNaseH|sire
scaffold_118_(dbseq-nr_117)_[197184,206145]	LTR	Gypsy	mixture	no	-	AP|athila RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_118_(dbseq-nr_117)_[276325,281737]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|tork RNaseH|sire
scaffold_118_(dbseq-nr_117)_[29173,36811]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_118_(dbseq-nr_117)_[42938,49647]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_118_(dbseq-nr_117)_[476817,482445]	LTR	Copia	copia	no	-	AP|ty1/copia INT|retrofit RT|copia RNaseH|copia
scaffold_118_(dbseq-nr_117)_[49654,57652]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_118_(dbseq-nr_117)_[7034,15682]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_119_(dbseq-nr_118)_[244936,251671]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_119_(dbseq-nr_118)_[270501,277770]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_119_(dbseq-nr_118)_[368368,375152]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_119_(dbseq-nr_118)_[91856,98841]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_11_(dbseq-nr_10)_[148703,154865]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|oryco RT|pCretro RNaseH|codi_d
scaffold_11_(dbseq-nr_10)_[41436,52486]	LTR	Copia	tork	no	-	AP|ty1/copia INT|tork RT|tork RNaseH|copia
scaffold_11_(dbseq-nr_10)_[6664,13677]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_11_(dbseq-nr_10)_[917989,923213]	LTR	Copia	mixture	no	+	INT|oryco RT|copia RNaseH|tork
scaffold_1201_(dbseq-nr_1200)_[1187,8720]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_1205_(dbseq-nr_1204)_[7154,13108]	LTR	Copia	sire	no	-	AP|ty1/copia INT|tork RT|sire RNaseH|sire
scaffold_120_(dbseq-nr_119)_[115076,120438]	LTR	Copia	mixture	no	+	AP|pseudovirus INT|oryco RT|copia RNaseH|tork
scaffold_120_(dbseq-nr_119)_[159614,168460]	LTR	Copia	hydra	no	-	RNaseH|hydra
scaffold_120_(dbseq-nr_119)_[39105,44969]	LTR	Copia	retrofit	no	+	AP|retrofit INT|retrofit RT|tork RNaseH|sire
scaffold_120_(dbseq-nr_119)_[415175,421487]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_120_(dbseq-nr_119)_[46098,54925]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|17_6 INT|gmr1
scaffold_120_(dbseq-nr_119)_[4624,9586]	LTR	Copia	retrofit	no	-	AP|retrofit INT|retrofit RT|copia RNaseH|tork
scaffold_1219_(dbseq-nr_1218)_[3564,9347]	LTR	Copia	copia	no	-	AP|tork RT|copia RNaseH|copia
scaffold_121_(dbseq-nr_120)_[15277,20396]	LTR	Copia	mixture	no	+	AP|ty1/copia RT|1731 RNaseH|codi_d
scaffold_121_(dbseq-nr_120)_[205424,211868]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|copia RT|tork RNaseH|sire
scaffold_121_(dbseq-nr_120)_[336941,345868]	LTR	Gypsy	mixture	no	-	AP|athila RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_121_(dbseq-nr_120)_[349616,357576]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_121_(dbseq-nr_120)_[369951,376973]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|cer2-3 INT|tat
scaffold_1220_(dbseq-nr_1219)_[4693,10969]	LTR	Copia	tork	no	-	AP|ty1/copia INT|tork RT|tork RNaseH|copia
scaffold_1227_(dbseq-nr_1226)_[5493,12596]	LTR	Gypsy	mixture	no	-	RT|reina RNaseH|17_6 INT|tat
scaffold_122_(dbseq-nr_121)_[33387,38795]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|tork RNaseH|sire
scaffold_122_(dbseq-nr_121)_[358972,365612]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|retrofit RT|tork RNaseH|copia
scaffold_122_(dbseq-nr_121)_[473710,480500]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|pyret RT|v_clade RNaseH|v_clade INT|v_clade CHR|retroelement
scaffold_1231_(dbseq-nr_1230)_[4592,12351]	LTR	Gypsy	mixture	no	+	RT|reina RNaseH|cer2-3 INT|gmr1
scaffold_1236_(dbseq-nr_1235)_[3490,8937]	LTR	Copia	mixture	no	+	INT|copia RNaseH|sire
scaffold_1237_(dbseq-nr_1236)_[2474,9264]	LTR	Gypsy	mixture	no	+	RNaseH|del INT|gmr1
scaffold_123_(dbseq-nr_122)_[121685,128144]	LTR	Copia	mixture	no	+	AP|ty1/copia INT|oryco RT|1731 RNaseH|codi_d
